id,Lat,Lon,HarvestYear,Source,YieldTonHa,MWMT,MCMT,MAT,MAP,Potassium_g_kg_0-20_m,Nitrogen_g_kg_0-20_m,Phosphorus_g_kg_0-20_m,OrganicCarbon_g_kg_0-20_m,irr
9441,2.74137592315674,30.9613132476807,2010,LSMS_UGA2009,0.123552581507638,26.1,23.4,24.5,1402,48,99,22,28,0.0
9442,2.12212109565735,33.191463470459,2010,LSMS_UGA2009,0.321437610426375,26.3,23.4,24.9,1476,50,81,21,28,0.0
9443,3.52506995201111,31.7135047912598,2010,LSMS_UGA2009,0.131789420274814,29.8,26.4,28.1,1172,54,89,24,25,0.0
9444,3.66808891296387,31.7156162261963,2010,LSMS_UGA2009,1.64736775343517,28.4,25.0,26.6,1211,49,70,21,25,0.0
9445,2.35501003265381,30.9007453918457,2010,LSMS_UGA2009,0.790736521648883,22.8,20.2,21.4,1425,48,111,24,30,0.0
9446,2.50494599342346,31.0968360900879,2010,LSMS_UGA2009,0.197684130412221,26.9,24.4,25.3,1237,51,72,23,23,0.0
9447,2.52995300292969,30.7862167358398,2010,LSMS_UGA2009,1.99680939810324,23.6,20.8,22.0,1403,48,99,24,30,0.0
9448,3.34775996208191,31.1935329437256,2010,LSMS_UGA2009,0.176503687868054,27.9,24.8,26.2,1315,48,76,21,24,0.0
9449,3.27729201316834,30.9756202697754,2010,LSMS_UGA2009,3.29473545777497,27.0,24.0,25.2,1403,49,69,23,24,0.0
9450,2.3648579120636,32.6032752990723,2010,LSMS_UGA2009,0.178093811182181,26.7,23.9,25.2,1438,50,75,22,29,0.0
9451,-0.89675098657608,29.7783241271973,2010,LSMS_UGA2009,0.58142391297712,21.3,19.6,20.4,1796,47,111,25,31,0.0
9452,0.419649988412857,31.0364627838135,2010,LSMS_UGA2009,1.19808561289414,22.8,21.4,22.0,1403,51,117,25,30,0.0
9453,2.09265398979187,31.4800834655762,2010,LSMS_UGA2009,3.13784343784464,28.6,25.7,27.0,1158,50,72,25,23,0.0
9454,0.447066992521286,30.1652870178223,2010,LSMS_UGA2009,0.78446083496913,22.1,20.8,21.4,1409,53,119,28,31,0.0
9455,3.34775996208191,31.1935329437256,2010,LSMS_UGA2009,0.278989700178537,27.9,24.8,26.2,1315,48,76,21,24,0.0
9458,0.732909977436066,32.9587593078613,2010,LSMS_UGA2009,0.724841811511476,25.0,22.7,24.0,1659,47,81,22,28,0.0
9459,0.869543015956879,34.3812675476074,2010,LSMS_UGA2009,0.444789293427497,23.0,20.4,21.8,1761,51,114,28,30,0.0
9460,-0.89675098657608,29.7783241271973,2010,LSMS_UGA2009,0.766878092116374,21.3,19.6,20.4,1796,47,111,25,31,0.0
9461,-0.779664993286133,29.6530265808105,2010,LSMS_UGA2009,0.741315489045828,23.9,22.3,23.2,1721,47,111,25,30,0.0
9462,0.126304000616074,31.809871673584,2010,LSMS_UGA2009,0.222394646713748,23.6,21.6,22.7,1445,48,92,25,28,0.0
9463,2.51362705230713,30.8818950653076,2010,LSMS_UGA2009,0.376940079175845,23.7,21.0,22.1,1380,48,107,25,29,0.0
9464,3.0916440486908,31.0199394226074,2010,LSMS_UGA2009,0.185328872261457,27.1,24.3,25.4,1389,49,85,23,25,0.0
9465,2.42946004867554,32.8906021118164,2010,LSMS_UGA2009,0.239134028724461,26.8,24.1,25.4,1488,47,81,24,29,0.0
9466,2.74137592315674,30.9613132476807,2010,LSMS_UGA2009,0.138996654196093,26.1,23.4,24.5,1402,48,99,22,28,0.0
9467,2.77324104309082,32.3021507263184,2010,LSMS_UGA2009,0.444789293427497,26.9,24.0,25.4,1494,48,70,24,24,0.0
9468,0.142605006694794,30.495325088501,2010,LSMS_UGA2009,1.64736775343517,23.4,21.8,22.6,1540,50,110,31,29,0.0
9469,-0.760571002960205,30.1790943145752,2010,LSMS_UGA2009,3.42145622878672,21.0,19.9,20.4,1467,48,114,23,29,0.0
9470,3.00683903694153,30.913631439209,2010,LSMS_UGA2009,2.99377409037738,26.2,23.4,24.5,1430,47,67,24,24,0.0
9471,3.34775996208191,31.1935329437256,2010,LSMS_UGA2009,0.153045778383655,27.9,24.8,26.2,1315,48,76,21,24,0.0
9472,0.887243986129761,31.7009468078613,2010,LSMS_UGA2009,0.450100479080649,24.1,22.2,23.0,1409,51,108,22,29,0.0
9473,0.53796797990799,31.368236541748,2010,LSMS_UGA2009,0.290029534055488,23.2,21.7,22.4,1394,50,101,26,28,0.0665524825453758
9474,0.431405007839203,33.8126411437988,2010,LSMS_UGA2009,1.37280646119598,24.5,21.9,23.4,1702,50,74,25,26,0.0002213736297562
9476,0.775407016277313,33.3474769592285,2010,LSMS_UGA2009,0.653717362474275,25.1,22.8,24.1,1670,43,80,22,29,0.0
9477,0.551319003105164,33.125862121582,2010,LSMS_UGA2009,0.895308561649551,24.8,22.1,23.5,1580,48,83,21,28,0.0
9478,0.551319003105164,33.125862121582,2010,LSMS_UGA2009,1.71600807649497,24.8,22.1,23.5,1580,48,83,21,28,0.0
9479,0.545563995838165,33.0937652587891,2010,LSMS_UGA2009,0.168098750350528,24.8,22.2,23.6,1572,48,90,22,28,0.0
9480,0.924404978752136,33.1305084228516,2010,LSMS_UGA2009,0.164736775343517,25.1,22.9,24.1,1671,47,80,22,28,0.0
9481,1.209233045578,33.047924041748,2010,LSMS_UGA2009,0.385800410640556,25.6,23.1,24.4,1528,48,94,26,29,0.0
9482,0.900533974170685,33.1015129089355,2010,LSMS_UGA2009,1.30055348955408,25.2,22.9,24.2,1672,47,87,22,28,0.0
9483,0.513224005699158,33.4177093505859,2010,LSMS_UGA2009,3.95368260824442,24.7,21.9,23.4,1625,45,75,20,26,0.0
9484,1.12054705619812,34.0546684265137,2010,LSMS_UGA2009,0.426043384509097,25.6,22.9,24.3,1573,48,74,20,26,0.0
9485,0.961449027061462,33.5919456481934,2010,LSMS_UGA2009,3.08881453769095,25.6,23.1,24.4,1664,48,81,22,27,0.0
9486,1.99999403953552,33.2409324645996,2010,LSMS_UGA2009,0.257401211474246,26.0,23.2,24.7,1507,48,77,22,27,0.0
9487,2.297935962677,32.4508323669434,2010,LSMS_UGA2009,0.301347759774727,26.7,24.0,25.3,1397,50,83,23,29,0.0
9488,0.142605006694794,30.495325088501,2010,LSMS_UGA2009,1.83040861492797,23.4,21.8,22.6,1540,50,110,31,29,0.0
9489,-0.292248010635376,31.4787216186523,2010,LSMS_UGA2009,0.716246849319641,23.1,21.4,22.4,1363,50,88,26,27,0.0
9490,1.86747801303864,32.7966499328613,2010,LSMS_UGA2009,0.247105163015276,26.5,23.5,25.0,1401,50,79,26,26,0.0
9491,2.86015605926514,32.4313430786133,2010,LSMS_UGA2009,0.494210326030552,27.3,24.4,25.7,1444,47,93,23,29,0.0
9492,1.77958202362061,33.0395240783691,2010,LSMS_UGA2009,0.170652736889003,26.4,23.4,24.9,1448,50,83,24,28,0.0
9493,-0.151137992739677,30.9488544464111,2010,LSMS_UGA2009,0.61013620497599,22.7,21.3,21.8,1395,49,98,27,28,0.0
9494,-0.0795710012316704,31.6357078552246,2010,LSMS_UGA2009,0.305068102487995,23.2,21.3,22.4,1398,51,102,24,28,0.0
9495,-0.344247996807098,31.5716667175293,2010,LSMS_UGA2009,3.16801491045226,23.0,21.2,22.3,1284,51,87,25,27,0.0
9496,-0.471199989318848,31.3637866973877,2010,LSMS_UGA2009,0.31518515690724,22.5,21.0,21.8,1382,50,80,28,26,0.0
9497,-0.522386014461517,31.3553428649902,2010,LSMS_UGA2009,0.549122584478391,22.6,21.1,21.9,1353,50,103,27,30,0.0
9498,0.0009769999887794,31.7997989654541,2010,LSMS_UGA2009,0.407764295404746,23.7,21.7,22.8,1395,52,85,28,27,0.0
9499,0.435741990804672,32.8037338256836,2010,LSMS_UGA2009,0.308881453769095,24.5,22.0,23.4,1540,48,93,22,27,0.0
9500,-0.292248010635376,31.4787216186523,2010,LSMS_UGA2009,0.353007375736109,23.1,21.4,22.4,1363,50,88,26,27,0.0
9501,-0.151019006967545,31.4375495910645,2010,LSMS_UGA2009,0.21562405149675,23.1,21.5,22.4,1453,50,82,26,26,0.0
9502,0.732909977436066,32.9587593078613,2010,LSMS_UGA2009,0.292086481105527,25.0,22.7,24.0,1659,47,81,22,28,0.0
9503,0.684432983398438,32.3014259338379,2010,LSMS_UGA2009,0.141001519552226,24.6,22.6,23.6,1471,51,101,23,29,0.0
9505,0.38901498913765,34.0578117370605,2010,LSMS_UGA2009,0.433517829851362,24.4,21.6,23.3,1734,46,77,22,26,0.0
